id,u,v,key,osmid,length,name
1253,1264328528,5200744112,0,110832283,109.726,Avenida Jorge Chávez
1254,1264328681,4067034582,0,227661752,28.797,Avenida Daniel Alcides Carrión
1255,1264328681,5391133833,0,"[558925035, 536972100]",50.72,
1256,1264328797,1264336186,0,405722947,39.635,Avenida José Abelardo Quiñones
1257,1264328797,1264346600,0,557860221,39.776,Pasaje John F. Kennedy
1258,1264328797,10062503681,0,405722947,15.433,Avenida José Abelardo Quiñones
1259,1264328798,11012708628,0,568440751,53.334999999999994,Avenida Republica de Argentina
1260,1264328864,5104485323,0,528988278,50.611999999999995,
1261,1264329960,4915894850,0,110822619,5.045,Avenida Independencia
1262,1264329960,9675005098,0,110822619,13.969,Avenida Independencia
1263,1264329960,4915894855,0,354948228,13.904,Calle Paucarpata
1264,1264329960,4915894853,0,110813686,15.861,Calle Paucarpata
1265,1264330177,5399025221,0,198374829,8.643,Avenida Lambramani
1266,1264330177,4978429964,0,198374829,13.34,Avenida Lambramani
1267,1264330177,5399025120,0,1185573531,14.566,Monterreal Isla
1268,1264330224,5169519214,0,557383918,28.286,
1269,1264330224,5460746918,0,567214092,122.05199999999999,
1270,1264330224,5375618176,0,557383918,37.090999999999994,
1271,1264330270,4444938124,0,408754006,10.14,Siglo XX
1272,1264330270,4444938117,0,426200710,140.192,Corbacho
1273,1264330270,4051788314,0,1184486859,131.34,Siglo XX
1274,1264330270,3946688688,0,426200710,97.42599999999999,Corbacho
1275,1264330307,5406208477,0,557378638,107.322,Urbanización las Orquídeas Manzana A
1276,1264330307,5406208483,0,557378638,112.543,Urbanización las Orquídeas Manzana A
1277,1264330307,5406208479,0,110821183,61.187,Nicolás SIlva
1278,1264330326,1264365890,0,110809040,51.426,Obando
1279,1264330326,5375734627,0,110809040,25.922,Obando
1280,1264330326,5375734625,0,557398373,126.84800000000001,
1281,1264330375,5411420138,0,356857777,57.727,Thomas Álvares
1282,1264330375,1264336438,0,356857777,64.986,Thomas Álvares
1283,1264330375,4110468104,0,409155458,39.971000000000004,
1284,1264330503,3347222809,0,327910300,59.762,Las Esmeraldas
1285,1264330503,3347222805,0,327910300,71.187,Las Esmeraldas
1286,1264330503,1264333979,0,558925032,63.309,
1287,1264330536,5379805298,0,110806641,87.502,Calle Beaterio
1288,1264330536,10656093774,0,110806641,5.413,Calle Beaterio
